price,area,bedroom,toilet,district,province
1600000000.0,90.0,2.0,2.0,Củ Chi,Hồ Chí Minh
18500000000.0,90.0,2.0,2.0,Hoài Đức,Hà Nội
20000000000.0,127.0,3.0,2.0,Quận 2,Hồ Chí Minh
6000000000.0,98.7,3.0,3.0,Ngũ Hành Sơn,Đà Nẵng
13000000000.0,100.0,2.0,2.0,Hoài Đức,Hà Nội
1100000000.0,50.0,1.0,1.0,Liên Chiểu,Đà Nẵng
2800000000.0,56.0,2.0,2.0,Văn Giang,Hưng Yên
7500000000.0,89.0,2.0,2.0,Quận 2,Hồ Chí Minh
14000000000.0,100.0,5.0,5.0,Hoài Đức,Hà Nội
6500000000.0,133.0,2.0,2.0,Phan Thiết,Bình Thuận
7500000000.0,90.0,2.0,2.0,Bình Thạnh,Hồ Chí Minh
1900000000.0,37.0,1.0,1.0,Gia Lâm,Hà Nội
4200000000.0,85.0,2.0,2.0,Tân Phú,Hồ Chí Minh
5250000000.0,80.0,2.0,2.0,Long Biên,Hà Nội
3150000000.0,81.0,2.0,2.0,Quận 2,Hồ Chí Minh
3650000000.0,34.0,3.0,1.0,Thanh Trì,Hà Nội
7600000000.0,81.0,2.0,2.0,Nam Từ Liêm,Hà Nội
6800000000.0,140.0,3.0,2.0,Phan Thiết,Bình Thuận
12000000000.0,169.0,3.0,4.0,Long Biên,Hà Nội
22500000000.0,200.0,6.0,3.0,Quận 9,Hồ Chí Minh
5800000000.0,82.0,2.0,2.0,Bình Thạnh,Hồ Chí Minh
3060000000.0,60.0,1.0,1.0,Đông Anh,Hà Nội
3750000000.0,72.0,2.0,2.0,Quận 9,Hồ Chí Minh
435000000.0,100.0,2.0,2.0,Bảo Lâm,Lâm Đồng
8160000000.0,52.7,1.0,1.0,Gia Lâm,Hà Nội
11450000000.0,229.0,4.0,4.0,Thạch Thất,Hà Nội
21000000000.0,96.0,2.0,2.0,Hoài Đức,Hà Nội
19000000000.0,121.0,3.0,2.0,Quận 1,Hồ Chí Minh
2830000000.0,90.0,3.0,2.0,Quận 9,Hồ Chí Minh
5050000000.0,75.0,2.0,2.0,Nam Từ Liêm,Hà Nội
3700000000.0,40.0,4.0,4.0,Hoài Đức,Hà Nội
17000000000.0,181.0,4.0,3.0,Quận 2,Hồ Chí Minh
5400000000.0,108.0,1.0,1.0,Hai Bà Trưng,Hà Nội
2650000000.0,101.7,2.0,2.0,Chương Mỹ,Hà Nội
2100000000.0,35.0,1.0,1.0,Nam Từ Liêm,Hà Nội
2049999999.9999998,62.0,2.0,2.0,Thủ Dầu Một,Bình Dương
3050000000.0,33.0,3.0,4.0,Hà Đông,Hà Nội
9200000000.0,90.0,2.0,2.0,Văn Giang,Hưng Yên
2200000000.0,80.0,2.0,2.0,Thạch Thất,Hà Nội
10000000000.0,124.0,3.0,2.0,Quận 2,Hồ Chí Minh
20500000000.0,180.0,3.0,4.0,Tây Hồ,Hà Nội
9300000000.0,55.0,2.0,1.0,Gia Lâm,Hà Nội
15000000000.0,125.0,3.0,2.0,Bình Thạnh,Hồ Chí Minh
9500000000.0,91.8,2.0,2.0,Đống Đa,Hà Nội
17000000000.0,120.0,3.0,2.0,Ba Đình,Hà Nội
5900000000.0,56.0,1.0,1.0,Ba Đình,Hà Nội
1600000000.0,66.0,2.0,2.0,Bắc Giang,Bắc Giang
12200000000.0,103.9,3.0,3.0,Tây Hồ,Hà Nội
4600000000.0,77.1,2.0,2.0,Sơn Trà,Đà Nẵng
7800000000.0,78.09,2.0,2.0,Ba Đình,Hà Nội
3800000000.0,51.0,1.0,1.0,Tây Hồ,Hà Nội
8600000000.0,60.0,2.0,2.0,Văn Giang,Hưng Yên
3220000000.0,42.0,1.0,1.0,Nam Từ Liêm,Hà Nội
6900000000.0,87.0,2.0,2.0,Quận 10,Hồ Chí Minh
19500000000.0,100.0,2.0,2.0,Nam Từ Liêm,Hà Nội
4600000000.0,103.0,3.0,2.0,Vũng Tàu,Bà Rịa Vũng Tàu
12900000000.0,50.0,4.0,5.0,Quận 10,Hồ Chí Minh
6800000000.0,86.0,2.0,2.0,Quận 10,Hồ Chí Minh
6240000000.0,156.0,3.0,2.0,Bắc Từ Liêm,Hà Nội
9000000000.0,107.0,3.0,2.0,Quận 10,Hồ Chí Minh
1400000000.0,59.6,2.0,2.0,Liên Chiểu,Đà Nẵng
3850000000.0,85.3,3.0,2.0,Đông Anh,Hà Nội
2390000000.0,46.54,2.0,1.0,Nhà Bè,Hồ Chí Minh
6300000000.0,120.0,3.0,3.0,Long Biên,Hà Nội
2400000000.0,59.0,2.0,2.0,Quận 9,Hồ Chí Minh
1550000000.0,98.0,3.0,2.0,Biên Hòa,Đồng Nai
4099999999.9999995,50.0,2.0,1.0,Quận 9,Hồ Chí Minh
5100000000.0,110.0,3.0,2.0,Bắc Từ Liêm,Hà Nội
4099999999.9999995,94.0,2.0,2.0,Hà Đông,Hà Nội
2300000000.0,72.0,2.0,2.0,Thuận An,Bình Dương
5500000000.0,90.0,3.0,2.0,Bến Lức,Long An
11000000000.0,148.4,2.0,2.0,Quận 9,Hồ Chí Minh
3500000000.0,55.0,2.0,1.0,Nam Từ Liêm,Hà Nội
9600000000.0,175.0,3.0,3.0,Văn Giang,Hưng Yên
2430000000.0,46.0,1.0,1.0,Nam Từ Liêm,Hà Nội
6800000000.0,98.0,3.0,2.0,Bắc Từ Liêm,Hà Nội
6600000000.0,85.0,2.0,2.0,Quận 2,Hồ Chí Minh
6800000000.0,90.0,2.0,2.0,Quận 2,Hồ Chí Minh
7000000000.0,32.8,3.0,2.0,Phú Nhuận,Hồ Chí Minh
5700000000.0,124.0,3.0,2.0,Quận 7,Hồ Chí Minh
1800000000.0,80.0,2.0,2.0,Thủ Dầu Một,Bình Dương
7200000000.0,85.0,2.0,2.0,Bình Thạnh,Hồ Chí Minh
4450000000.0,77.0,2.0,2.0,Gia Lâm,Hà Nội
11990000000.0,75.0,3.0,2.0,Phú Nhuận,Hồ Chí Minh
