DistrictId,WardId,StreetId,Size,Type,Characteristics,Urgent,Price
24,308,2745,106.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",1,2300000000.0
9,107,949,156.0,Đất nền dự án,Mặt tiền,0,10200000000.0
12,152,1335,192.0,Đất thổ cư,Mặt tiền,0,10800000000.0
16,209,1997,40.0,Đất thổ cư,"Nở hậu,Thổ cư toàn bộ",0,2950000000.0
24,309,2747,100.0,Đất thổ cư,,0,2900000000.0
24,309,2747,97.0,Đất thổ cư,Hẻm xe hơi,0,3650000000.0
12,151,1313,80.0,Đất thổ cư,Hẻm xe hơi,0,1900000000.0
14,174,1718,61.6,Đất thổ cư,Hẻm xe hơi,0,2650000000.0
12,153,1350,87.0,Đất nông nghiệp,,0,990000000.0
16,208,1992,75.0,Đất thổ cư,Hẻm xe hơi,0,5700000000.0
16,208,1992,46.0,Đất thổ cư,Nở hậu,0,2950000000.0
9,103,911,75.0,Đất thổ cư,,0,2100000000.0
16,210,2009,100.0,Đất thổ cư,,0,5200000000.0
16,209,1994,81.0,Đất thổ cư,"Hẻm xe hơi,Nở hậu",0,6000000000.0
16,207,1981,45.0,Đất thổ cư,Hẻm xe hơi,0,4099999999.9999995
16,209,1994,73.4,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,5050000000.0
23,306,2732,90.0,Đất thổ cư,Mặt tiền,1,499000000.0
22,292,2645,280.0,Đất thổ cư,Mặt tiền,0,2550000000.0
13,159,1456,100.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,4800000000.0
6,69,548,115.0,Đất thổ cư,,0,7600000000.0
16,206,1968,102.0,Đất thổ cư,Hẻm xe hơi,0,5800000000.0
13,160,1465,61.1,Đất nền dự án,"Hẻm xe hơi,Nở hậu,Thổ cư toàn bộ",1,4850000000.0
9,103,911,51.0,Đất thổ cư,,0,2370000000.0
9,111,1003,65.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,3050000000.0
14,174,1726,60.0,Đất thổ cư,Hẻm xe hơi,0,2200000000.0
20,259,2533,130.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",0,1745000000.0
23,296,2670,161.0,Đất thổ cư,,0,4800000000.0
23,302,2713,85.0,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",1,1400000000.0
14,166,1536,95.0,Đất thổ cư,,0,5000000000.0
22,292,2643,123.0,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",0,3500000000.0
24,310,2748,126.8,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,4800000000.0
20,257,2524,180.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",1,750000000.0
13,156,1408,50.5,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",0,5200000000.0
9,99,887,190.0,Đất thổ cư,,0,830000000.0
2,15,171,52.0,Đất thổ cư,Hẻm xe hơi,0,3500000000.0
14,170,1649,60.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",0,1860000000.0
22,283,2608,140.0,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ,Hẻm xe hơi",0,430000000.0
9,99,887,64.0,Đất thổ cư,Hẻm xe hơi,0,6200000000.0
