price,rooms,toilets,floors,house_type,furnishing_sell,size,ward,district
5000000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,54.0,Phường 12,Quận 6
1400000000.0,3,3,2.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,126.01,Xã Tân Kiên,Huyện Bình Chánh
1150000000.0,3,2,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,70.99,Phường Bình Thọ (Quận Thủ Đức cũ),Thành phố Thủ Đức
3400000000.0,2,2,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,79.0,Phường Bình Hưng Hoà B,Quận Bình Tân
4300000000.0,2,2,3.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,30.0,Phường 2,Quận Phú Nhuận
3800000000.0,2,2,1.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,75.0,Phường 15,Quận 8
4750000000.0,2,2,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,62.0,Phường Sơn Kỳ,Quận Tân Phú
9800000000.0,5,6,4.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,65.0,Phường Thới An,Quận 12
850000000.0,3,2,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,90.04,Xã Bình Chánh,Huyện Bình Chánh
970000000.0,2,1,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,15.0,Phường 15,Quận 8
970000000.0,2,1,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,15.0,Phường 15,Quận 8
890000000.0,3,2,0.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,80.0,Xã Bình Chánh,Huyện Bình Chánh
4200000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,58.0,Phường Tân Quý,Quận Tân Phú
680000000.0,3,2,1.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,100.0,Xã Bình Chánh,Huyện Bình Chánh
4150000000.0000005,6,5,3.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,54.0,Phường 7,Quận 8
5950000000.0,2,2,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,65.0,Phường 8,Quận Tân Bình
6450000000.0,3,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,90.0,Phường Tân Quý,Quận Tân Phú
5700000000.0,1,0,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,60.0,Phường Sơn Kỳ,Quận Tân Phú
5700000000.0,1,0,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,60.0,Phường Sơn Kỳ,Quận Tân Phú
6900000000.0,4,4,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,48.0,Phường 8,Quận Tân Bình
450000000.0,2,2,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,79.93,Xã Phạm Văn Hai,Huyện Bình Chánh
