price,address,price_m2,rooms,toilets,direction,floors,property_legal_document,house_type,furnishing_sell,width,length,living_size,size
"7,50 tỷ",Đường  Bùi Văn Ba,"64,66 triệu/m²",4 phòng,3 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4 m,,,
"3,65 tỷ","ấp 5, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh","46,79 triệu/m²",1 phòng,1 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,3.89 m,20 m,64.2 m²,
"7,50 tỷ","Đường Vòng xoay An Lạc, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","89,29 triệu/m²",5 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,4 m,21 m,300 m²,84 m²
"4,20 tỷ","Đường Nguyễn Khoái, Phường 2, Quận 4, Tp Hồ Chí Minh","93,33 triệu/m²",4 phòng,5 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,3.5 m,13 m,,
"1,30 tỷ","Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Tp Hồ Chí Minh","40,63 triệu/m²",3 phòng,2 phòng,,2,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",,4 m,8 m,,
"4,68 tỷ","Đường 26 Tháng 3, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh","114,15 triệu/m²",4 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,4.1 m,10 m,,41 m²
"2,40 tỷ","Đường Trần Văn Đang, Phường 9, Quận 3, Tp Hồ Chí Minh",240 triệu/m²,2 phòng,2 phòng,,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,,,
"2,89 tỷ","Thép mới , Phường 12, Quận Tân Bình, Tp Hồ Chí Minh","60,21 triệu/m²",3 phòng,3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,12 m,,
"3,86 tỷ","Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh","128,67 triệu/m²",3 phòng,4 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,5 m,,,
"2,25 tỷ","Đường Lê Văn Linh, Phường 13, Quận 4, Tp Hồ Chí Minh",90 triệu/m²,2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4 m,,,
"5,80 tỷ",Cập nhật 14 giờ trước,"128,89 triệu/m²",3 phòng,3 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,,92 m²,
"5,50 tỷ",Cập nhật 8 giờ trước,"130,95 triệu/m²",3 phòng,4 phòng,Tây,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,,,,
"5,50 tỷ",Cập nhật 8 giờ trước,"130,95 triệu/m²",3 phòng,4 phòng,Tây,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,,,,
"1,58 tỷ","An Dương Vương, Phường 16, Quận 8, Tp Hồ Chí Minh","41,58 triệu/m²",2 phòng,2 phòng,Tây Nam,2,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"10,20 tỷ","69, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh","134,21 triệu/m²",3 phòng,3 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",,4 m,19 m,,
"1,56 tỷ",Cập nhật 2 ngày trước,130 triệu/m²,3 phòng,3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,12 m²
"2,44 tỷ",Cập nhật 2 ngày trước,"203,33 triệu/m²",3 phòng,3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,12 m²
"6,20 tỷ","Đường Tân Phước, Phường 8, Quận Tân Bình, Tp Hồ Chí Minh","206,67 triệu/m²",3 phòng,2 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,3.5 m,9 m,100 m²,
"5,20 tỷ","Đường Phạm Đình Hổ, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",65 triệu/m²,3 phòng,3 phòng,Tây Bắc,3,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,
"4,30 tỷ","Đường Đông Thạnh 8, Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh","32,82 triệu/m²",2 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,7 m,22 m,154 m²,
"3,29 tỷ","Trương Thị Hoa ( TTH07), Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh","91,39 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,3.5 m,12 m,,
"6,65 tỷ","Đường Tân Thới Nhất 8, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","88,67 triệu/m²",4 phòng,3 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,4.1 m,,,
"1,68 tỷ","Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","76,36 triệu/m²",2 phòng,2 phòng,,1,Đã có sổ,"Nhà ngõ, hẻm",,3.2 m,7 m,,
18 tỷ,"Hà huy tập, Phường An Đông, Thành phố Huế, Thừa Thiên Huế","80,36 triệu/m²",5 phòng,5 phòng,Nam,4,Đã có sổ,Nhà biệt thự,Nội thất cao cấp,,,,
"3,98 tỷ","Đường Nguyễn Súy, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","110,56 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,Nhà phố liền kề,,4 m,9 m,,
"2,30 tỷ",Cập nhật 15 giờ trước,"141,98 triệu/m²",2 phòng,2 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",,,,16.2 m²,
11 tỷ,"76/14, Đường 59, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh","154,93 triệu/m²",4 phòng,5 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",,4.2 m,17 m,,
"5,85 tỷ","Phố Cự Lộc, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội","153,95 triệu/m²",4 phòng,4 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4.3 m,,,
"7,25 tỷ","đường xã đàn, Phường Kim Liên, Quận Đống Đa, Hà Nội","161,11 triệu/m²",6 phòng,6 phòng,,7,Đã có sổ,"Nhà ngõ, hẻm",,5.3 m,,45 m²,
"5,96 tỷ","Bùi Minh Trực, Phường 5, Quận 8, Tp Hồ Chí Minh","114,62 triệu/m²",3 phòng,4 phòng,Đông,5,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,
"7,50 tỷ","Đường Trường Chinh, Phường Phương Mai, Quận Đống Đa, Hà Nội","156,25 triệu/m²",4 phòng,4 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,3.5 m,,,
"7,50 tỷ","Hẻm 28 Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","258,62 triệu/m²",4 phòng,3 phòng,Tây Bắc,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,,,,
"7,50 tỷ","Hẻm 28 Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","258,62 triệu/m²",4 phòng,3 phòng,Tây Bắc,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,,,,
"13,50 tỷ","Âu Dương Lân, Phường 3, Quận 8, Tp Hồ Chí Minh",135 triệu/m²,4 phòng,4 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,5 m,,,
"3,15 tỷ","219/, Đường Dương Bá Trạc, Phường 1, Quận 8, Tp Hồ Chí Minh","131,21 triệu/m²",3 phòng,3 phòng,Đông,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,,,,
850 triệu,"Đường Quốc lộ 50, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh","9,44 triệu/m²",3 phòng,2 phòng,,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,4.5 m,,,
"4,55 tỷ","154/.., Hẻm 154 Âu Dương Lân, Phường 3, Quận 8, Tp Hồ Chí Minh","113,75 triệu/m²",2 phòng,2 phòng,Tây,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,4 m,,,
"6,80 tỷ","Đường Lê Ngô Cát, Phường Thuỷ Xuân, Thành phố Huế, Thừa Thiên Huế","49,60 triệu/m²",5 phòng,5 phòng,Bắc,3,Đã có sổ,"Nhà ngõ, hẻm",,,,,
"11,30 tỷ","Đường 30 Tháng 4, Phường Quyết Thắng, Thành phố Biên Hòa, Đồng Nai","125,56 triệu/m²",2 phòng,,,1,Đã có sổ,"Nhà mặt phố, mặt tiền",,4.7 m,20 m,90 m²,
"2,65 tỷ","Đường Dương Bá Trạc, Phường 1, Quận 8, Tp Hồ Chí Minh","88,33 triệu/m²",3 phòng,2 phòng,Tây,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
7 tỷ,"Nguyễn Duy, Phường 10, Quận 8, Tp Hồ Chí Minh","194,42 triệu/m²",4 phòng,3 phòng,Nam,4,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,
"5,60 tỷ","Đường Lê Thị Riêng, Phường Thới An, Quận 12, Tp Hồ Chí Minh","93,33 triệu/m²",4 phòng,4 phòng,Tây Nam,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,4 m,,,
"1,05 tỷ","Đường Thới Tam Thôn 16, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh",21 triệu/m²,2 phòng,,,,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",,4 m,9 m,65 m²,50 m²
"4,85 tỷ","Dương Bá Trạc, Phường 2, Quận 8, Tp Hồ Chí Minh","110,23 triệu/m²",4 phòng,3 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4.4 m,,,
"2,55 tỷ","Đường Trần Kế Xương, Phường 7, Quận Phú Nhuận, Tp Hồ Chí Minh","46,70 triệu/m²",3 phòng,4 phòng,,2,Đã có sổ,Nhà phố liền kề,Nội thất đầy đủ,4 m,,,
"7,35 tỷ","66, Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội","183,75 triệu/m²",4 phòng,4 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",,4 m,,200 m²,
"5,80 tỷ","Tám Danh, Phường 4, Quận 8, Tp Hồ Chí Minh","126,91 triệu/m²",4 phòng,3 phòng,Nam,4,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,
18 tỷ,"Phạm Thế Hiển, Phường 3, Quận 8, Tp Hồ Chí Minh",225 triệu/m²,6 phòng,Nhiều hơn 6 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,4 m,,,
"5,50 tỷ","Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","117,02 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,,,
5 tỷ,"Đường Phạm Thế Hiển, Phường 4, Quận 8, Tp Hồ Chí Minh",100 triệu/m²,4 phòng,4 phòng,,4,Đã có sổ,Nhà phố liền kề,Nội thất đầy đủ,4.5 m,,,
"2,35 tỷ","., Xã Đa Phước, Huyện Bình Chánh, Tp Hồ Chí Minh","29,38 triệu/m²",1 phòng,1 phòng,Nam,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,,,
"6,50 tỷ","Đường Phan Văn Hớn, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh","34,21 triệu/m²",4 phòng,4 phòng,,2,Đã có sổ,Nhà biệt thự,Nội thất cao cấp,10 m,,,
"6,50 tỷ","Đường Phan Văn Hớn, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh","34,21 triệu/m²",4 phòng,4 phòng,,2,Đã có sổ,Nhà biệt thự,Nội thất cao cấp,10 m,,,
"2,85 tỷ","Đường 22 Tháng 12, Phường Thuận Giao, Thành phố Thuận An, Bình Dương","39,58 triệu/m²",4 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,4.5 m,16 m,203 m²,
"10,80 tỷ","13, Đường Lê Sát, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","168,75 triệu/m²",6 phòng,3 phòng,Đông,3,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,
"7,60 tỷ","Đường Liên Tỉnh 5, Phường 6, Quận 8, Tp Hồ Chí Minh","135,71 triệu/m²",3 phòng,3 phòng,,3,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,4 m,,,
8 tỷ,"Đường Hoàng Minh Đạo, Phường 5, Quận 8, Tp Hồ Chí Minh","114,29 triệu/m²",4 phòng,3 phòng,,3,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,4 m,,,
950 triệu,"10/3A, Đường Đoàn Nguyễn Tuấn, Xã Tân Quý Tây, Huyện Bình Chánh, Tp Hồ Chí Minh","23,75 triệu/m²",2 phòng,1 phòng,,2,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4 m,,,
19 tỷ,"Đường Tạ Quang Bửu, Phường 5, Quận 8, Tp Hồ Chí Minh","243,59 triệu/m²",8 phòng,Nhiều hơn 6 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,4 m,20 m,,
470 tỷ,"Phố Cao Bá Quát, Phường Điện Biên, Quận Ba Đình, Hà Nội","1,12 tỷ/m²",8 phòng,Nhiều hơn 6 phòng,Bắc,6,Đã có sổ,"Nhà mặt phố, mặt tiền",,15 m,,,
7 tỷ,"Đường Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh","75,27 triệu/m²",6 phòng,4 phòng,,4,Đã có sổ,Nhà phố liền kề,Nội thất cao cấp,8.2 m,,,
"5,20 tỷ","Đường Tân Thới Hiệp 20, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh","49,52 triệu/m²",5 phòng,3 phòng,Tây Bắc,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"2,99 tỷ",Cập nhật 2 ngày trước,"271,82 triệu/m²",4 phòng,3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,11 m²
"1,97 tỷ",Cập nhật 2 ngày trước,"151,54 triệu/m²",4 phòng,4 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,13 m²
"1,87 tỷ",Cập nhật 2 ngày trước,170 triệu/m²,4 phòng,4 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,11 m²
"6,28 tỷ","Đường Tạ Quang Bửu, Phường 2, Quận 8, Tp Hồ Chí Minh","125,60 triệu/m²",5 phòng,4 phòng,,3,Đã có sổ,Nhà phố liền kề,,6.2 m,11 m,,
"5,80 tỷ","Đường Trần Hoàng Na, Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ","72,50 triệu/m²",4 phòng,4 phòng,Đông Bắc,3,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,
8 tỷ,Cập nhật 2 ngày trước,"140,35 triệu/m²",4 phòng,5 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,57 m²
6 tỷ,"Đường Tạ Quang Bửu, Phường 2, Quận 8, Tp Hồ Chí Minh","86,96 triệu/m²",5 phòng,4 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,6.1 m,,,
6 tỷ,"Đường Âu Dương Lân, Phường 3, Quận 8, Tp Hồ Chí Minh",150 triệu/m²,3 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,4 m,10 m,,
"3,70 tỷ","Hẻm 308, Đường Trần Phú, Phường Thành Công, Thành phố Buôn Ma Thuột, Đắk Lắk","24,52 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,5.3 m,,,
"3,15 tỷ",Cập nhật 2 ngày trước,"80,77 triệu/m²",3 phòng,4 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,39 m²
6 tỷ,"Đường Tạ Quang Bửu, Phường 2, Quận 8, Tp Hồ Chí Minh","86,96 triệu/m²",5 phòng,4 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,6.1 m,,,
6 tỷ,"Đường Âu Dương Lân, Phường 3, Quận 8, Tp Hồ Chí Minh",150 triệu/m²,3 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,4 m,10 m,,
"3,70 tỷ","Hẻm 308, Đường Trần Phú, Phường Thành Công, Thành phố Buôn Ma Thuột, Đắk Lắk","24,52 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,5.3 m,,,
"3,15 tỷ",Cập nhật 2 ngày trước,"80,77 triệu/m²",3 phòng,4 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,39 m²
"5,75 tỷ","Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh","157,53 triệu/m²",4 phòng,,,3,Đã có sổ,"Nhà ngõ, hẻm",,3.5 m,12.5 m,,36.5 m²
"7,20 tỷ","Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","124,14 triệu/m²",4 phòng,5 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,4 m,,,
"1,90 tỷ","Đường Tân Thới Hiệp 20, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh","79,17 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",,4 m,6 m,,
"11,99 tỷ","Đường Lê Thanh Nghị, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng","148,02 triệu/m²",5 phòng,3 phòng,Tây Nam,3,Đã có sổ,"Nhà mặt phố, mặt tiền",,4.5 m,,,
"2,75 tỷ","Đường Phạm Thế Hiển, Phường 4, Quận 8, Tp Hồ Chí Minh","62,50 triệu/m²",3 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,4 m,11 m,88 m²,
"7,60 tỷ",Cập nhật 2 ngày trước,"108,57 triệu/m²",5 phòng,,,,Đã có sổ,Nhà phố liền kề,,,,,70 m²
"8,90 tỷ",Cập nhật 2 ngày trước,"117,73 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,75.6 m²
6 tỷ,Cập nhật 2 ngày trước,100 triệu/m²,1 phòng,1 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,60 m²
"3,05 tỷ","Đường Trần Huy Liệu, Phường 15, Quận Phú Nhuận, Tp Hồ Chí Minh","152,50 triệu/m²",4 phòng,5 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4 m,5 m,,
"14,50 tỷ",Cập nhật 2 ngày trước,"100,69 triệu/m²",1 phòng,1 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,144 m²
"3,05 tỷ",Cập nhật 2 ngày trước,"50,83 triệu/m²",3 phòng,,,3,Đã có sổ,"Nhà ngõ, hẻm",,,,,60 m²
10 tỷ,Cập nhật 2 ngày trước,"88,50 triệu/m²",1 phòng,1 phòng,,,Đang chờ sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,113 m²
"7,90 tỷ",Cập nhật 2 ngày trước,"98,75 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,80 m²
"7,60 tỷ","Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh","126,67 triệu/m²",5 phòng,6 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",,4 m,15 m,,
"3,45 tỷ","Đông Hưng Thuận 41, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh","34,50 triệu/m²",3 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,5 m,20 m,100 m²,
"5,80 tỷ","Đường Tạ Quang Bửu, Phường 2, Quận 8, Tp Hồ Chí Minh","123,40 triệu/m²",5 phòng,4 phòng,Đông,3,Đã có sổ,"Nhà ngõ, hẻm",,3.9 m,,,
"7,60 tỷ","Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh","126,67 triệu/m²",5 phòng,6 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",,4 m,15 m,,
"3,45 tỷ","Đông Hưng Thuận 41, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh","34,50 triệu/m²",3 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,5 m,20 m,100 m²,
"5,80 tỷ","Đường Tạ Quang Bửu, Phường 2, Quận 8, Tp Hồ Chí Minh","123,40 triệu/m²",5 phòng,4 phòng,Đông,3,Đã có sổ,"Nhà ngõ, hẻm",,3.9 m,,,
19 tỷ,Cập nhật 2 ngày trước,"118,75 triệu/m²",4 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,160 m²
"1,25 tỷ","Đường Đoàn Nguyễn Tuấn, Xã Hưng Long, Huyện Bình Chánh, Tp Hồ Chí Minh","12,50 triệu/m²",3 phòng,3 phòng,Đông Nam,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,
"5,70 tỷ","Đường Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",190 triệu/m²,3 phòng,4 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,3 m,,,
"3,20 tỷ",Cập nhật 2 ngày trước,"114,29 triệu/m²",4 phòng,3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,28 m²
"1,15 tỷ",Cập nhật 15 giờ trước,"9,91 triệu/m²",3 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,116 m²
"4,02 tỷ","Đường Số 3, Phường 4, Quận 3, Tp Hồ Chí Minh","105,79 triệu/m²",4 phòng,3 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",,5 m,,,
"6,19 tỷ","Đường Bùi Quang Là, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh","99,84 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,4 m,,,
"2,50 tỷ","Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","59,52 triệu/m²",4 phòng,3 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",,3.2 m,13 m,,
850 triệu,Cập nhật 14 giờ trước,"7,08 triệu/m²",3 phòng,3 phòng,,1,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,120 m²
4 tỷ,"19, Đường Tân Hiệp 8, Xã Tân Hiệp, Huyện Hóc Môn, Tp Hồ Chí Minh","39,60 triệu/m²",4 phòng,4 phòng,Tây Nam,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"2,45 tỷ","Đường Trương Phước Phan, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh","58,33 triệu/m²",3 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Bàn giao thô,4 m,10.5 m,,
12 tỷ,"Đường Huỳnh Thị Tươi, Phường Tân Bình, Thành phố Dĩ An, Bình Dương","56,60 triệu/m²",2 phòng,1 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,10 m,21 m,212 m²,
"7,35 tỷ","Đường Phan Huy ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh","114,84 triệu/m²",4 phòng,4 phòng,,3,Đã có sổ,Nhà phố liền kề,Hoàn thiện cơ bản,4 m,,,
"13,30 tỷ","Đường Bùi Hữu Nghĩa, Phường 3, Quận 5, Tp Hồ Chí Minh","369,44 triệu/m²",4 phòng,2 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,3.5 m,11 m,,36 m²
"10,50 tỷ","Hoa Lư, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội",175 triệu/m²,4 phòng,4 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,5 m,,,
"1,25 tỷ",Cập nhật 2 ngày trước,"12,25 triệu/m²",2 phòng,1 phòng,Đông Bắc,,Đã có sổ,"Nhà ngõ, hẻm",,,,60 m²,
"1,25 tỷ",Cập nhật 2 ngày trước,"12,25 triệu/m²",2 phòng,1 phòng,Đông Bắc,,Đã có sổ,"Nhà ngõ, hẻm",,,,60 m²,
"4,20 tỷ","Đường T15, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","44,21 triệu/m²",4 phòng,3 phòng,Bắc,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
10 tỷ,"Nguyễn Thái HỌC, Phường Đông Hòa, Thành phố Dĩ An, Bình Dương","101,01 triệu/m²",4 phòng,5 phòng,,3,Đã có sổ,"Nhà mặt phố, mặt tiền",,12 m,,99 m²,
"2,75 tỷ","Nguyễn Văn Đậu, Phường 6, Quận Bình Thạnh, Tp Hồ Chí Minh","68,75 triệu/m²",3 phòng,3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,,,
"7,80 tỷ","82/, Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","139,29 triệu/m²",3 phòng,3 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,,,
"4,95 tỷ","Đường Nơ Trang Long, Phường 7, Quận Bình Thạnh, Tp Hồ Chí Minh","141,43 triệu/m²",2 phòng,,,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,3.5 m,11 m,,
"1,90 tỷ","nguyễn văn trổi, Phường 15, Quận Phú Nhuận, Tp Hồ Chí Minh","79,17 triệu/m²",3 phòng,3 phòng,,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,3 m,,,
"2,94 tỷ",Cập nhật 2 giờ trước,"73,50 triệu/m²",4 phòng,4 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,40 m²
"3,20 tỷ","Đường Quốc lộ 1, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","48,19 triệu/m²",2 phòng,2 phòng,Bắc,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,
5 tỷ,"Đường Bát Khối, Phường Long Biên, Quận Long Biên, Hà Nội","166,67 triệu/m²",3 phòng,4 phòng,Tây Nam,5,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"2,30 tỷ","Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","51,11 triệu/m²",2 phòng,2 phòng,,1,Đã có sổ,"Nhà ngõ, hẻm",,5 m,9 m,,
