price,address,price_m2,direction,property_legal_document,land_type,pty_characteristics,size,width,length
75 tỷ,"Đường Quốc lộ 13, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",75 triệu/m²,,Đã có sổ,Đất thổ cư,Mặt tiền,1000 m²,25 m,40 m
15 tỷ,"Đường Tỉnh lộ 15, Xã Phú Mỹ Hưng, Huyện Củ Chi, Tp Hồ Chí Minh","7,49 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ",2003 m²,26 m,77 m
9 tỷ,Cập nhật 9 giờ trước,75 triệu/m²,,Đã có sổ,Đất thổ cư,Mặt tiền,120 m²,,
"3,75 tỷ","Đường Gò Dưa, Phường Tam Bình (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","55,15 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,68 m²,4 m,17 m
"4,30 tỷ","Đường Quốc lộ 13, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",43 triệu/m²,,Đã có sổ,Đất thổ cư,Hẻm xe hơi,100 m²,4 m,25 m
60 tỷ,Đường Tam Đa,"7,20 triệu/m²",Đông,Đã có sổ,Đất nông nghiệp,,8337 m²,104 m,80 m
"3,95 tỷ","Hẻm 126 Đường Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè, Tp Hồ Chí Minh","29,70 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,133 m²,8 m,17 m
555 triệu,"Nguyễn Thị Náo, Xã Trung Lập Thượng, Huyện Củ Chi, Tp Hồ Chí Minh","3,47 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Hẻm xe hơi,Thổ cư toàn bộ",160 m²,5 m,32 m
"2,40 tỷ","Mặt Tiền Thị Lành, Xã Trung An, Huyện Củ Chi, Tp Hồ Chí Minh","8,57 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",280 m²,5 m,56 m
"3,20 tỷ","Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh",40 triệu/m²,Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",80 m²,9 m,9 m
13 tỷ,"Đường Rạch Nhum, Xã Nhị Bình, Huyện Hóc Môn, Tp Hồ Chí Minh","13,68 triệu/m²",Tây,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",950 m²,15.5 m,62 m
12 tỷ,"Xô Việt Nghệ Tĩnh , Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","114,29 triệu/m²",,Đã có sổ,Đất thổ cư,,105 m²,5.2 m,20 m
"10,70 tỷ","Đường Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh","72,30 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,148 m²,7.4 m,20 m
"23,80 tỷ","Đường Phan Văn Trị, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh","148,75 triệu/m²",,Đã có sổ,Đất thổ cư,,160 m²,9 m,17 m
"8,90 tỷ","Đường Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh","109,88 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ,Nở hậu",81 m²,4 m,20 m
"1,80 tỷ","Đường Phú Định, Phường 16, Quận 8, Tp Hồ Chí Minh","21,18 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Hẻm xe hơi",85 m²,5 m,17 m
"1,70 tỷ","Đường Tân Xuân 1, Xã Tân Xuân, Huyện Hóc Môn, Tp Hồ Chí Minh","10,24 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ,Hẻm xe hơi",166 m²,8 m,21 m
"27,72 tỷ","Đường Trương Văn Bang, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",210 triệu/m²,,Đã có sổ,Đất nền dự án,Mặt tiền,132 m²,6 m,22 m
